stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code,zone_id
418040,49005300,"Lelystad, Schansbrug",52.513397,5.473028,0,null,null,1,null,CXX:49005300
5308,49008150,"Lelystad, Schoener",52.501473,5.455995,0,null,null,1,null,null
221473,49008160,"Lelystad, Schoener",52.502867,5.454598,0,null,null,0,null,null
5263,49000290,"Lelystad, Schouwbrug",52.5072,5.466932,0,null,null,1,null,null
5350,49000300,"Lelystad, Schouwbrug",52.506939,5.466961,0,null,null,1,null,null
5403,49000530,"Lelystad, Schroefstraat",52.523255,5.496047,0,null,null,1,null,null
1400652,49004110,"Lelystad, Slotenlaan",52.494361,5.485021,0,null,null,1,null,null
1400672,49004120,"Lelystad, Slotenlaan",52.49455,5.485257,0,null,null,1,null,null
1355670,49005000,"Lelystad, Station Centrum",52.507851,5.473311,0,stoparea:121550,null,0,A,CXX:49005000
419512,49005007,"Lelystad, Station Centrum",52.507807,5.473311,0,stoparea:121550,null,0,C,CXX:49005007
2219299,49005010,"Lelystad, Station Centrum",52.507807,5.473311,0,stoparea:121550,null,0,A,CXX:49005010
1691397,49005010,"Lelystad, Station Centrum",52.50769,5.473267,0,stoparea:779,null,0,A,null
1999349,49005020,"Lelystad, Station Centrum",52.507968,5.473297,0,stoparea:121550,null,1,B,CXX:49005020
417139,49005030,"Lelystad, Station Centrum",52.507807,5.473311,0,stoparea:121550,null,0,C,CXX:49005030
1691390,49005040,"Lelystad, Station Centrum",52.507699,5.473547,0,stoparea:779,null,1,D,null
1691389,49005050,"Lelystad, Station Centrum",52.507698,5.47365,0,stoparea:779,null,1,E,null
1691393,49005060,"Lelystad, Station Centrum",52.507689,5.473738,0,stoparea:779,null,1,F,null
1691391,49005070,"Lelystad, Station Centrum",52.50768,5.473827,0,stoparea:779,null,1,G,null
416685,49005090,"Lelystad, Station Centrum",52.507807,5.473311,0,stoparea:121550,null,0,A,CXX:49005090
1691396,49005091,"Lelystad, Station Centrum",52.507699,5.473267,0,stoparea:779,null,1,E,null
1547572,49140010,"Lelystad, Steenstraat",52.539416,5.520614,0,stoparea:122631,null,0,null,CXX:49140010
418731,49140020,"Lelystad, Steenstraat",52.540088,5.52206,0,stoparea:122631,null,0,null,CXX:49140020
5292,49008250,"Lelystad, Stuwweg",52.500696,5.44729,0,null,null,0,null,null
5237,49008260,"Lelystad, Stuwweg",52.500723,5.447334,0,null,null,0,null,null
5337,49007850,"Lelystad, Tjalk/Groenhorst",52.500368,5.469026,0,stoparea:1009,null,1,null,null
221476,49007860,"Lelystad, Tjalk/Groenhorst",52.50036,5.468349,0,stoparea:1009,null,1,null,null
1400667,49007200,"Lelystad, Vaartweg",52.501338,5.439176,0,stoparea:990,null,1,null,null
1400651,49007250,"Lelystad, Vaartweg",52.501356,5.437983,0,stoparea:990,null,1,null,null
5254,49000450,"Lelystad, Val van Urk",52.525086,5.488655,0,stoparea:983,null,1,null,null
5318,49000250,"Lelystad, Vecht",52.525524,5.48005,0,null,null,1,null,null
5235,49001730,"Lelystad, Veluwezoom",52.49501,5.457884,0,stoparea:991,null,1,null,null
1400655,49001740,"Lelystad, Veluwezoom",52.494983,5.457914,0,stoparea:991,null,1,null,null
5346,49005150,"Lelystad, Vestebrug",52.518448,5.472021,0,null,null,1,null,null
355955,49005150,"Lelystad, Vestebrug",52.518457,5.472065,0,stoparea:123408,null,1,null,CXX:49005150
5347,49005200,"Lelystad, Vestebrug",52.517774,5.47252,0,null,null,1,null,null
355052,49005200,"Lelystad, Vestebrug",52.517792,5.472594,0,stoparea:123408,null,1,null,CXX:49005200
5241,49000750,"Lelystad, Vlieterbrug",52.521327,5.491195,0,null,null,1,null,null
360854,49000750,"Lelystad, Vlieterbrug",52.521318,5.491239,0,stoparea:122579,null,1,null,CXX:49000750
5264,49000800,"Lelystad, Vlieterbrug",52.52112,5.491563,0,null,null,0,null,null
415925,49000800,"Lelystad, Vlieterbrug",52.521075,5.491563,0,stoparea:122579,null,0,null,CXX:49000800
360144,49210010,"Lelystad, Vogelweg",52.445567,5.551909,0,stoparea:123373,null,1,null,CXX:49210010
416672,49310020,"Lelystad, Vogelweg",52.444235,5.553037,0,stoparea:123373,null,1,null,CXX:49310020
1656115,49000710,"Lelystad, Warande",52.491616,5.451076,0,stoparea:301103,null,1,null,null
1544939,49000720,"Lelystad, Warande",52.491401,5.451194,0,stoparea:301103,null,1,null,null
5231,49000600,"Lelystad, Werkeiland",52.502163,5.419222,0,null,null,1,null,null
1400654,49000610,"Lelystad, Werkeiland",52.501686,5.418205,0,null,null,1,null,null
1400659,49004270,"Lelystad, Westhoven",52.495497,5.510188,0,stoparea:985,null,1,null,null
2032034,49008050,"Lelystad, Winkelcentrum Botter",52.501622,5.462416,0,stoparea:1020,null,0,null,null
5236,49008060,"Lelystad, Winkelcentrum Botter",52.50164,5.462416,0,stoparea:1020,null,0,null,null
5260,49002400,"Lelystad, Winkelcentrum Jol",52.512003,5.444801,0,null,null,1,null,null
1400661,49002410,"Lelystad, Winkelcentrum Jol",52.511931,5.444772,0,null,null,0,null,null
5393,49003600,"Lelystad, Winkelcentrum Kamp",52.502033,5.489632,0,stoparea:1003,null,1,null,null
1400669,49003610,"Lelystad, Winkelcentrum Kamp",52.502177,5.489324,0,stoparea:1003,null,1,null,null
1860521,49002900,"Lelystad, Winkelcentrum Kempenaar",52.517261,5.46013,0,stoparea:1015,null,1,null,null
2032032,49002910,"Lelystad, Winkelcentrum Kempenaar",52.517081,5.461072,0,stoparea:1015,null,1,null,null
88193,49007870,"Lelystad, Winkelcentrum Tjalk",52.502478,5.472417,0,null,null,1,null,null
88192,49007880,"Lelystad, Winkelcentrum Tjalk",52.502559,5.472123,0,null,null,1,null,null
5368,49003500,"Lelystad, Wold",52.505466,5.488978,0,null,null,0,null,null
5389,49003510,"Lelystad, Wold",52.505377,5.488889,0,null,null,0,null,null
2218282,49130010,"Lelystad, Zeeasterpad",52.511039,5.570758,0,stoparea:355591,null,0,null,CXX:49130010
2220019,49230020,"Lelystad, Zeeasterpad",52.510579,5.572038,0,stoparea:355591,null,0,null,CXX:49230020
5226,49000040,"Lelystad, Ziekenhuis",52.505116,5.4774,0,stoparea:999,null,1,null,null
1691394,49003250,"Lelystad, Ziekenhuis",52.505017,5.477474,0,stoparea:999,null,1,null,null
75010,49004340,"Lelystad, Zwartezeestraat",52.493891,5.49861,0,stoparea:1017,null,1,null,null
5394,49004350,"Lelystad, Zwartezeestraat",52.493892,5.497314,0,stoparea:1017,null,0,null,null
5371,49000140,"Lelystad, Zwembad De Koploper",52.519717,5.492959,0,stoparea:982,null,1,null,null
1529208,45871007,"Lemele, Camping De Lemeler Esch",52.467506,6.42807,0,stoparea:297392,null,null,null,null
1529212,45871008,"Lemele, Camping De Lemeler Esch",52.467506,6.42807,0,stoparea:297392,null,null,null,null
1529209,45871005,"Lemele, Imminkhoeve",52.456056,6.418796,0,stoparea:297395,null,null,null,null
1529207,45871006,"Lemele, Imminkhoeve",52.456056,6.418796,0,stoparea:297395,null,null,null,null
1529210,45871003,"Lemele, Kerk",52.453158,6.415051,0,stoparea:297393,null,null,null,null
1529211,45871001,"Lemele, Theehuis De Lemelerberg",52.457755,6.397869,0,stoparea:297394,null,null,null,null
1237819,46430150,"Lemelerveld, Doktersbrug",52.450622,6.303453,0,stoparea:218715,null,0,null,null
868348,46430300,"Lemelerveld, Doktersbrug",52.450449,6.303847,0,stoparea:218715,null,0,null,null
866408,46430250,"Lemelerveld, Dwarsweg",52.44813,6.3177,0,stoparea:218714,null,0,null,null
868007,46430400,"Lemelerveld, Dwarsweg",52.447876,6.319136,0,stoparea:218714,null,0,null,null
